license_number,hospital_id,department,profile_url,name,email,password,contact,gender,bio,availability,enrolled_at
1,1,내과,https://randomuser.me/api/portraits/men/4.jpg,박정식,JacobPark@naver.com,133326,031-228-5716,남,건국대 의대 졸업 (2021년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '휴진'}",2022-09-08
2,1,외과,https://randomuser.me/api/portraits/men/72.jpg,류우진,MiaRyu@naver.com,127824,031-228-5716,남,건국대 의대 졸업 (2022년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-04-22
3,2,내과,https://randomuser.me/api/portraits/men/1.jpg,김경희,DanielKim@gmail.com,391704,031-228-6717,남,한양대 의대 졸업 (2022년),"{'월': '09:00~17:00', '화': '휴진', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-11-25
4,2,외과,https://randomuser.me/api/portraits/women/98.jpg,이광수,EmilyLee@gmail.com,325772,031-228-6717,여,세종대 의대 졸업 (2019년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '휴진'}",2023-09-01
5,3,내과,https://randomuser.me/api/portraits/men/45.jpg,문정자,SamuelMoon@naver.com,476417,031-228-7716,남,한양대 의대 졸업 (2018년),"{'월': '09:00~17:00', '화': '휴진', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-05-06
6,3,외과,https://randomuser.me/api/portraits/men/16.jpg,박영철,DavidPark@gmail.com,662275,031-228-7716,남,단국대 의대 졸업 (2021년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-01-20
7,4,내과,https://randomuser.me/api/portraits/women/74.jpg,남은서,ZoeNam@naver.com,479201,1899-3300,여,연세대 의대 졸업 (2022년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '휴진', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-11-16
8,4,외과,https://randomuser.me/api/portraits/men/38.jpg,김광수,LaylaKim@naver.com,910620,1899-3300,남,단국대 의대 졸업 (2019년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-06-13
9,4,내과,https://randomuser.me/api/portraits/men/82.jpg,김선영,IsaacKim@naver.com,575435,1899-3300,남,한양대 의대 졸업 (2020년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '휴진'}",2022-03-29
10,4,외과,https://randomuser.me/api/portraits/women/35.jpg,한건우,SebastianHan@naver.com,802729,1899-3300,여,세종대 의대 졸업 (2019년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-11-12
11,5,내과,https://randomuser.me/api/portraits/men/35.jpg,류도윤,CharlotteRyu@naver.com,497887,031-729-3870,남,고려대 의대 졸업 (2021년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '휴진', '금': '09:00~17:00'}",2022-09-26
12,5,외과,https://randomuser.me/api/portraits/women/5.jpg,류지혜,LaylaRyu@naver.com,340174,031-729-3870,여,연세대 의대 졸업 (2018년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '휴진', '금': '09:00~17:00'}",2022-03-18
13,6,내과,https://randomuser.me/api/portraits/women/92.jpg,최영길,AlexanderChoi@gmail.com,694731,031-729-3930,여,서울대 의대 졸업 (2019년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '휴진'}",2024-05-11
14,6,외과,https://randomuser.me/api/portraits/women/34.jpg,남지우,SebastianNam@naver.com,249811,031-729-3930,여,한양대 의대 졸업 (2021년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-11-17
15,6,내과,https://randomuser.me/api/portraits/women/75.jpg,차상현,JaydenLee@naver.com,549245,031-729-3930,여,단국대 의대 졸업 (2022년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '휴진', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-08-17
16,7,내과,https://randomuser.me/api/portraits/men/12.jpg,이영희,EthanLee@gmail.com,617488,031-729-3990,남,고려대 의대 졸업 (2022년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '휴진', '금': '09:00~17:00'}",2023-12-15
17,7,외과,https://randomuser.me/api/portraits/men/88.jpg,박옥자,EmilyPark@naver.com,930555,031-729-3990,남,단국대 의대 졸업 (2019년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '휴진'}",2022-08-25
18,7,내과,https://randomuser.me/api/portraits/women/68.jpg,이상현,HenryLee@naver.com,590785,031-729-3990,여,한양대 의대 졸업 (2022년),"{'월': '09:00~17:00', '화': '휴진', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-11-01
19,8,내과,https://randomuser.me/api/portraits/men/35.jpg,최지민,JacobChoi@naver.com,887352,031-870-6010,남,단국대 의대 졸업 (2022년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '휴진', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-08-08
20,8,외과,https://randomuser.me/api/portraits/women/1.jpg,김아름,LiamKim@naver.com,575763,031-870-6010,여,한양대 의대 졸업 (2019년),"{'월': '09:00~17:00', '화': '휴진', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-11-16
21,8,내과,https://randomuser.me/api/portraits/men/82.jpg,이경자,AvaLee@naver.com,982554,031-870-6010,남,연세대 의대 졸업 (2020년),"{'월': '09:00~17:00', '화': '휴진', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-12-19
22,8,외과,https://randomuser.me/api/portraits/men/68.jpg,박주원,MichaelPark@naver.com,665579,031-870-6010,남,세종대 의대 졸업 (2019년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-11-06
23,8,내과,https://randomuser.me/api/portraits/women/40.jpg,김정훈,LiamKim@gmail.com,480612,031-870-6010,여,서울대 의대 졸업 (2018년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-04-01
24,9,내과,https://randomuser.me/api/portraits/men/94.jpg,김하은,CalebKim@naver.com,189814,031-8045-3472,남,건국대 의대 졸업 (2018년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-06-16
25,9,외과,https://randomuser.me/api/portraits/men/22.jpg,문영순,MasonMoon@naver.com,676510,031-8045-3472,남,고려대 의대 졸업 (2021년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '휴진', '금': '09:00~17:00'}",2022-12-17
26,10,내과,https://randomuser.me/api/portraits/men/40.jpg,이보람,AvaLee@gmail.com,847581,031-8045-4472,남,건국대 의대 졸업 (2019년),"{'월': '09:00~17:00', '화': '09:00~17:00', '수': '09:00~17:00', '목': '휴진', '금': '09:00~17:00'}",2024-02-08
27,10,외과,https://randomuser.me/api/portraits/women/32.jpg,이정남,EllaLee@gmail.com,226882,031-8045-4472,여,건국대 의대 졸업 (2021년),"{'월': '09:00~17:00', '화': '휴진', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2023-07-03
28,11,내과,https://randomuser.me/api/portraits/women/30.jpg,이준혁,ZoeLee@naver.com,680828,032-320-3000,여,서울대 의대 졸업 (2022년),"{'월': '휴진', '화': '09:00~17:00', '수': '09:00~17:00', '목': '09:00~17:00', '금': '09:00~17:00'}",2022-06-13
