patient_id,identity_number,name,email,password,birth_date,gender,contact,postal_code,address,is_default_address,disability_type,sign_language_needed,enrolled_at
1,830423-1043321,김정호,coedoyun@example.org,@2$3Qtl!ld,1983-04-23,남,010-7912-1520,54118,경기도 수원시 부산광역시 서대문구 영동대거리 지하271,1,[],0,2023-05-10 11:26:45
2,930715-1389083,우영미,jeongsun95@example.net,4$15B8ZEFv,1993-07-15,남,010-4611-8359,80010,경기도 이천시 충청북도 횡성군 강남대835로 825-41,0,"['청각장애','언어장애']",1,2024-10-06 06:16:36
3,681009-1265423,최정희,areumi@example.net,*2IVsHezP&,1968-10-09,남,010-2674-2519,88172,경기도 김포시 울산광역시 서대문구 서초대80로 788,1,언어장애,1,2023-06-09 13:21:22
4,830527-2594078,박진호,hyeonjeong28@example.org,_+iUqR!B@4,1983-05-27,여,010-7201-2291,20322,경기도 오산시 세종특별자치시 서구 잠실길 970-71,0,[],0,2023-07-12 16:38:54
5,540518-2931034,차현숙,yeeuni@example.net,_5%@SO!eq%,1954-05-18,여,010-4814-2654,41195,경기도 김포시 세종특별자치시 중랑구 석촌호수가 827-53 (상철윤면),0,[],0,2024-05-11 15:53:34
6,700221-2525534,장현지,gimyejin@example.org,$3GruKpS$z,1970-02-21,여,010-3803-9751,63269,경기도 안양시 경상남도 고양시 일산동구 도산대6로 949 (우진한서마을),1,[],0,2024-03-28 08:37:18
7,840904-1764835,김도윤,sinminseog@example.net,*Qo^^pfvU8,1984-09-04,남,010-4752-1525,96163,경기도 시흥시 광주광역시 중랑구 언주62거리 952 (경수강마을),0,[],0,2024-04-11 17:03:32
8,050124-4139537,이진우,yangjuweon@example.org,X8W!jAbv*(,2005-01-24,여,010-8517-3340,46930,경기도 평택시 전라남도 고양시 덕양구 서초대40로 지하850,1,"['청각장애','언어장애']",1,2023-06-14 17:20:28
9,610307-1884969,윤수민,bcoe@example.net,s1nC_wAs!p,1961-03-07,남,010-6930-4593,63264,경기도 부천시 충청남도 동두천시 선릉로 802,0,"['청각장애','언어장애']",1,2023-04-24 19:07:50
10,010130-3012269,송수민,idohyeon@example.com,3k4@2Olx$Z,2001-01-30,남,010-7304-7252,25118,경기도 안성시 대구광역시 영등포구 도산대9가 447-78 (준영최면),0,[],0,2024-11-28 05:22:14
11,470104-2801845,송정순,juweongim@example.net,of9AKHv)J^,1947-01-04,여,010-5808-8123,81819,경기도 안산시 광주광역시 도봉구 선릉거리 453-87,0,[],0,2024-03-05 17:43:13
12,570504-1482814,안보람,iyeongmi@example.net,b4^16NYhIY,1957-05-04,남,010-3504-7126,95990,경기도 안산시 부산광역시 강동구 언주8가 256,1,청각장애,1,2024-04-01 20:38:33
13,000408-4701543,박영진,hayun79@example.net,s(N6RoiQY8,2000-04-08,여,010-4946-2290,51904,경기도 고양시 대구광역시 광진구 개포길 425,0,[],0,2023-07-19 20:34:12
14,690302-1822782,김승현,goyunseo@example.com,*p0JhLj44K,1969-03-02,남,010-9645-7932,71261,경기도 남양주시 제주특별자치도 수원시 팔달구 석촌호수016길 52,1,언어장애,1,2024-05-22 13:46:03
